task,encoder,model,agg,train-AP,validation-AP,test-AP
motion,efficientnetb7,xgboost,concat,0.81 ± 0.008,0.104 ± 0.005,0.116
motion,efficientnetb7,xgboost,abs_diff,0.789 ± 0.013,0.11 ± 0.007,0.123
motion,efficientnetb7,mlp,mean,0.792 ± 0.016,0.111 ± 0.009,0.125
motion,efficientnetb7,mlp,concat,0.787 ± 0.008,0.109 ± 0.006,0.119
motion,efficientnetb7,mlp,abs_diff,0.801 ± 0.015,0.109 ± 0.004,0.111
motion,efficientnetb7,mlp_small,mean,0.789 ± 0.012,0.118 ± 0.012,0.112
motion,efficientnetb7,mlp_small,concat,0.782 ± 0.012,0.108 ± 0.006,0.119
motion,efficientnetb7,mlp_small,abs_diff,0.796 ± 0.019,0.1 ± 0.003,0.109
motion,efficientnetb7,mlp_large,mean,0.792 ± 0.02,0.118 ± 0.007,0.129
motion,efficientnetb7,mlp_large,concat,0.776 ± 0.026,0.107 ± 0.007,0.124
motion,efficientnetb7,mlp_large,abs_diff,0.805 ± 0.016,0.112 ± 0.01,0.119
motion,resnet50,lr,mean,0.603 ± 0.018,0.111 ± 0.004,0.117
motion,resnet50,lr,concat,0.596 ± 0.021,0.099 ± 0.007,0.123
motion,resnet50,lr,abs_diff,0.637 ± 0.02,0.096 ± 0.004,0.106
motion,resnet50,xgboost,mean,0.815 ± 0.011,0.109 ± 0.008,0.119
motion,resnet50,xgboost,concat,0.813 ± 0.012,0.101 ± 0.006,0.109
motion,resnet50,xgboost,abs_diff,0.797 ± 0.011,0.107 ± 0.009,0.119
motion,resnet50,mlp,mean,0.791 ± 0.016,0.12 ± 0.01,0.136
motion,resnet50,mlp,concat,0.776 ± 0.025,0.117 ± 0.007,0.133
motion,resnet50,mlp,abs_diff,0.803 ± 0.015,0.103 ± 0.004,0.114
motion,resnet50,mlp_small,mean,0.784 ± 0.018,0.108 ± 0.007,0.151
motion,resnet50,mlp_small,concat,0.784 ± 0.018,0.11 ± 0.007,0.131
motion,resnet50,mlp_small,abs_diff,0.8 ± 0.01,0.098 ± 0.005,0.117
motion,resnet50,mlp_large,mean,0.776 ± 0.026,0.113 ± 0.011,0.129
motion,resnet50,mlp_large,concat,0.775 ± 0.027,0.111 ± 0.013,0.143
motion,resnet50,mlp_large,abs_diff,0.803 ± 0.018,0.098 ± 0.006,0.118
motion,clip4clip,lr,mean,0.404 ± 0.01,0.12 ± 0.007,0.114
motion,clip4clip,lr,concat,0.478 ± 0.018,0.12 ± 0.005,0.134
motion,clip4clip,lr,abs_diff,0.319 ± 0.009,0.101 ± 0.005,0.115
motion,clip4clip,xgboost,mean,0.824 ± 0.014,0.11 ± 0.009,0.124
motion,clip4clip,xgboost,concat,0.816 ± 0.017,0.112 ± 0.007,0.123
motion,clip4clip,xgboost,abs_diff,0.777 ± 0.013,0.111 ± 0.009,0.126
motion,clip4clip,mlp,mean,0.8 ± 0.013,0.121 ± 0.007,0.13
motion,clip4clip,mlp,concat,0.787 ± 0.015,0.116 ± 0.01,0.12
motion,clip4clip,mlp,abs_diff,0.778 ± 0.012,0.117 ± 0.01,0.119
motion,clip4clip,mlp_small,mean,0.788 ± 0.014,0.113 ± 0.006,0.129
motion,clip4clip,mlp_small,concat,0.783 ± 0.008,0.109 ± 0.005,0.134
motion,clip4clip,mlp_small,abs_diff,0.767 ± 0.01,0.117 ± 0.007,0.118
motion,clip4clip,mlp_large,mean,0.812 ± 0.011,0.118 ± 0.007,0.119
motion,clip4clip,mlp_large,concat,0.79 ± 0.007,0.117 ± 0.007,0.132
motion,clip4clip,mlp_large,abs_diff,0.788 ± 0.013,0.115 ± 0.004,0.128
